Theta(deg),Phi(deg),Freq(kT),mstar(me),Curv(kTA2),Type(+e-h),NumOrbCopy
  0.000000,  0.000000,  7.628149E-02,  5.842437E-01,  6.469375E+01,-1.000,   54
  0.000000,  0.000000,  7.639029E-02,  5.819526E-01,  6.231969E+01,-1.000,   77
  0.000000,  0.000000,  7.642859E-02,  5.836695E-01,  6.205325E+01,-1.000,   55
  0.000000,  0.000000,  7.653576E-02,  5.834956E-01,  5.964604E+01,-1.000,   79
  0.000000,  0.000000,  8.915677E-02,  8.596298E-01,  4.748758E+01,-1.000,    6
  0.000000,  0.000000,  8.933648E-02,  8.507064E-01,  3.512059E+01,-1.000,   20
  0.000000,  0.000000,  8.999622E-02,  8.594516E-01,  3.394985E+01,-1.000,   11
  0.000000,  0.000000,  9.032667E-02,  8.938619E-01,  4.924313E+01,-1.000,    4
  0.000000,  0.000000,  9.143577E-02,  9.423387E-01,  1.649035E+02,-1.000,   58
  0.000000,  0.000000,  9.147725E-02,  9.161226E-01,  1.522841E+02,-1.000,   65
  0.000000,  0.000000,  9.165558E-02,  8.747133E-01,  1.190512E+02,-1.000,   73
  0.000000,  0.000000,  9.167411E-02,  9.084480E-01,  1.253196E+02,-1.000,   66
  0.000000,  0.000000,  1.046742E-01,  3.859904E-01, -6.622027E+00,-1.000,  112
  0.000000,  0.000000,  1.046779E-01,  3.822318E-01, -6.471308E+00,-1.000,  112
  0.000000,  0.000000,  1.067241E-01,  3.360850E-01, -3.955587E+00,-1.000,   98
  0.000000,  0.000000,  1.067544E-01,  3.363135E-01, -3.970108E+00,-1.000,   98
  0.000000,  0.000000,  1.069919E-01,  3.172054E-01, -4.335354E+00,-1.000,  112
  0.000000,  0.000000,  1.069964E-01,  3.173448E-01, -4.321275E+00,-1.000,  112
  0.000000,  0.000000,  4.697091E-01,  1.929830E+00,  3.856656E+01,-1.000,   77
  0.000000,  0.000000,  4.698124E-01,  1.935487E+00,  3.296625E+01,-1.000,  106
  0.000000,  0.000000,  4.701171E-01,  1.939307E+00,  3.911002E+01,-1.000,  106
  0.000000,  0.000000,  4.702380E-01,  1.943700E+00,  4.365973E+01,-1.000,  154
  0.000000,  0.000000,  4.704041E-01,  1.965664E+00,  1.430447E+01,-1.000,   38
  0.000000,  0.000000,  4.707534E-01,  1.967722E+00,  4.690178E+01,-1.000,   48
  0.000000,  0.000000,  8.640207E-01,  7.513991E-01,  1.804545E+01, 1.000,  112
  0.000000,  0.000000,  8.640596E-01,  7.534303E-01,  1.804201E+01, 1.000,  112
  0.000000,  0.000000,  1.198054E+00,  3.991467E-01,  5.374857E+01, 1.000,   98
  0.000000,  0.000000,  1.348843E+00,  8.685935E-01,  1.426932E+01,-1.000,  112
  0.000000,  0.000000,  1.348861E+00,  8.615486E-01,  1.424333E+01,-1.000,  112
  0.000000,  0.000000,  1.368504E+00,  9.768181E-01, -1.144081E+04,-1.000,   31
  0.000000,  0.000000,  1.369218E+00,  9.766414E-01, -1.145461E+04,-1.000,    7
  0.000000,  0.000000,  1.371341E+00,  9.918940E-01, -1.150033E+04,-1.000,  112
  0.000000,  0.000000,  1.372355E+00,  9.881553E-01, -1.152153E+04,-1.000,  103
  0.000000,  0.000000,  1.372479E+00,  9.966598E-01, -1.152309E+04,-1.000,   81
  0.000000,  0.000000,  1.373698E+00,  9.963685E-01, -1.154716E+04,-1.000,   93
  0.000000,  0.000000,  1.828533E+00,  2.115930E+00, -1.867172E+04,-1.000,   33
  0.000000,  0.000000,  1.831001E+00,  2.140603E+00, -1.912404E+04,-1.000,   42
  0.000000,  0.000000,  1.831159E+00,  2.165329E+00, -1.910876E+04,-1.000,   30
  0.000000,  0.000000,  1.833190E+00,  2.184672E+00, -1.959054E+04,-1.000,   48
  0.000000,  0.000000,  2.028902E+00,  4.334943E-01, -2.303726E+01, 1.000,   80
  0.000000,  0.000000,  8.637474E+00,  1.276534E+00,  2.686910E+01,-1.000,   32
  0.000000,  0.000000,  9.160357E+00,  2.279184E+00,  4.301273E+01,-1.000,   54
  0.000000,  0.000000,  9.182357E+00,  2.019499E+00, -5.444470E+01,-1.000,   32
  0.000000,  0.000000,  9.182425E+00,  2.022694E+00, -5.406091E+01,-1.000,   28
  0.000000,  0.334572,  7.631377E-02,  5.856996E-01,  6.523042E+01,-1.000,   60
  0.000000,  0.334572,  7.654135E-02,  5.797127E-01,  6.046133E+01,-1.000,   67
  0.000000,  0.334572,  7.656318E-02,  5.781815E-01,  6.105514E+01,-1.000,   53
  0.000000,  0.334572,  7.670538E-02,  5.784965E-01,  6.000053E+01,-1.000,   49
  0.000000,  0.334572,  8.889002E-02,  1.216256E+00,  8.098823E+01,-1.000,   23
  0.000000,  0.334572,  8.920908E-02,  1.344112E+00,  8.804379E+01,-1.000,   20
